claim_id	claim	numeric_value	display_value	table	selector	source_assets	source_sha256	allowed_wording
C11	Dataset-identity probe accuracy for DE	0.898701085595	0.8987	identity_probes	dataset_id=all; probe=dataset; representation=DE	identity_de	21eb1efe40e7c01efa7da9faef4cec84b91c8745144ec2e52cb7e719244ae0f0	DE features predicted dataset identity with balanced accuracy 0.8987.
C12	Stimulus-identity probe accuracy for pretrained LaBraM	0.0233673469388	0.0234	identity_probes	dataset_id=ds005540; probe=stimulus; representation=LaBraM pretrained	identity_labram_pretrained	1c5f10ad9cc92d2bc7c15cd6765a668c7f91c903c255c429a28e206cddc024a3	Under unseen-stimulus evaluation, pretrained LaBraM stimulus-ID accuracy was 0.0234 on ds005540.
C13	Direct EEG performance under the trial-random audit control	0.198935058415	0.1989	benchmark_metrics	context=all; metric=ccc; model=direct_eeg; protocol=trial_random_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	Direct EEG reached macro CCC 0.1989 under the trial-random audit control.
C14	Direct EEG performance under simultaneous subject and stimulus holdout	0.0125624418068	0.0126	benchmark_metrics	context=all; metric=ccc; model=direct_eeg; protocol=subject_stimulus_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	Direct EEG fell to macro CCC 0.0126 when participants and stimuli were both unseen.
C15	Semantic stimulus prior under unseen-subject evaluation	0.49764544743	0.4976	benchmark_metrics	context=all; metric=ccc; model=semantic_stimulus_prior; protocol=subject_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	The semantic stimulus prior reached macro CCC 0.4976 for unseen participants.
C16	Direct EEG under unseen-subject evaluation	0.01333047292	0.0133	benchmark_metrics	context=all; metric=ccc; model=direct_eeg; protocol=subject_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	Direct EEG reached macro CCC 0.0133 for unseen participants.
C17	Semantic stimulus prior under unseen-stimulus evaluation	0.376481178796	0.3765	benchmark_metrics	context=all; metric=ccc; model=semantic_stimulus_prior; protocol=stimulus_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	The semantic prior reached macro CCC 0.3765 on unseen stimuli.
C18	Prior plus EEG residual under unseen-stimulus evaluation	0.540454755261	0.5405	benchmark_metrics	context=all; metric=ccc; model=disentangled_prior_plus_eeg_residual; protocol=stimulus_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	Adding the EEG residual increased unseen-stimulus macro CCC to 0.5405.
C19	Semantic stimulus prior under simultaneous subject and stimulus holdout	0.392660530404	0.3927	benchmark_metrics	context=all; metric=ccc; model=semantic_stimulus_prior; protocol=subject_stimulus_holdout; source_asset=de_core_summary; target=macro	de_core_summary	092d4fce57fbac3b8e2240d2e91a5dbca4f7dace73e391c677cf790b86de2770	Under simultaneous holdout, the semantic prior reached macro CCC 0.3927.
C20	External condition prior performance	0.377605068876	0.3776	external_validation	analysis=affect_prediction; feature_view=channel; metric=ccc; model=condition_mean; protocol=subject_holdout; target=macro	external_bandpower_summary	8f82622a1f33a698a2fc2b3ff05313122ae2cc6306423e33f7b0e157c50fa2c8	On ds006866, the condition prior reached macro CCC 0.3776 for unseen participants.
C21	External EEG-only performance	0.0318787310122	0.0319	external_validation	analysis=affect_prediction; feature_view=channel; metric=ccc; model=eeg_bandpower_ridge; protocol=subject_holdout; target=macro	external_bandpower_summary	8f82622a1f33a698a2fc2b3ff05313122ae2cc6306423e33f7b0e157c50fa2c8	On ds006866, channel-level EEG-only prediction reached macro CCC 0.0319.
C22	External condition plus EEG residual performance	0.342188300006	0.3422	external_validation	analysis=affect_prediction; feature_view=channel; metric=ccc; model=condition_plus_eeg_residual_ridge; protocol=subject_holdout; target=macro	external_bandpower_summary	8f82622a1f33a698a2fc2b3ff05313122ae2cc6306423e33f7b0e157c50fa2c8	On ds006866, the condition-plus-EEG residual model reached macro CCC 0.3422.
C23	External condition identity probe accuracy from channel features	0.248638888889	0.2486	external_validation	analysis=condition_probe; feature_view=channel; metric=balanced_accuracy; protocol=subject_holdout	external_condition_probe_channel	ea3a5e63bfde5880b1b1b78b50331b6f4ad76f8563d6ac074771ff246fc51eb2	Channel-level EEG decoded condition identity at balanced accuracy 0.2486 for unseen participants.
C24	External permuted condition identity probe accuracy from channel features	0.167611111111	0.1676	external_validation	analysis=condition_probe; feature_view=channel; metric=balanced_accuracy; protocol=subject_holdout	external_condition_probe_channel	ea3a5e63bfde5880b1b1b78b50331b6f4ad76f8563d6ac074771ff246fc51eb2	The corresponding permuted-label balanced accuracy was 0.1676.
C25	External six-class condition probe chance level	0.166666666667	0.1667	external_validation	analysis=condition_probe; feature_view=channel; metric=balanced_accuracy; protocol=subject_holdout	external_condition_probe_channel	ea3a5e63bfde5880b1b1b78b50331b6f4ad76f8563d6ac074771ff246fc51eb2	The uniform six-class chance level was 0.1667 balanced accuracy.
C26	External condition identity probe accuracy from global features	0.213361111111	0.2134	external_validation	analysis=condition_probe; feature_view=global; metric=balanced_accuracy; protocol=subject_holdout	external_condition_probe_global	def3ad2e16634635f63b6f0f5a56b4d11d99e8b2bfe35025d9b8c6beabac1d53	Ten global EEG features decoded condition identity at balanced accuracy 0.2134.
C27	External condition prior advantage over EEG-only prediction	0.345726337864	0.3457	external_validation	analysis=paired_comparison; comparison=Condition_vs_EEG; metric=ccc_delta; protocol=subject_holdout	external_paired_channel	65031268ca5c3031c7d98242d72a0151093f9921f9f91551c0051260ed8ca963	The paired macro-CCC advantage of the condition prior over EEG-only prediction was 0.3457.
C28	Lower bootstrap endpoint for the external condition prior advantage	0.30400395923	0.304	external_validation	analysis=paired_comparison; comparison=Condition_vs_EEG; metric=ccc_delta; protocol=subject_holdout	external_paired_channel	65031268ca5c3031c7d98242d72a0151093f9921f9f91551c0051260ed8ca963	Its participant-cluster bootstrap 95% interval was [0.3040, 0.3884].
C29	Upper bootstrap endpoint for the external condition prior advantage	0.388447682325	0.3884	external_validation	analysis=paired_comparison; comparison=Condition_vs_EEG; metric=ccc_delta; protocol=subject_holdout	external_paired_channel	65031268ca5c3031c7d98242d72a0151093f9921f9f91551c0051260ed8ca963	Its participant-cluster bootstrap 95% interval was [0.3040, 0.3884].
C30	External condition prior versus combined-model MAE difference	-0.013404990297	-0.0134	external_validation	analysis=paired_comparison; comparison=Condition_vs_Combined; metric=mae_delta; protocol=subject_holdout	external_paired_channel	65031268ca5c3031c7d98242d72a0151093f9921f9f91551c0051260ed8ca963	The condition prior had 0.0134 lower MAE than the channel-level combined model.
C31	Lower bootstrap endpoint for the external condition-versus-combined MAE difference	-0.0329155544886	-0.0329	external_validation	analysis=paired_comparison; comparison=Condition_vs_Combined; metric=mae_delta; protocol=subject_holdout	external_paired_channel	65031268ca5c3031c7d98242d72a0151093f9921f9f91551c0051260ed8ca963	The paired MAE interval for condition prior minus combined prediction was [-0.0329, -0.0004].
C32	Upper bootstrap endpoint for the external condition-versus-combined MAE difference	-0.000362020791177	-0.0004	external_validation	analysis=paired_comparison; comparison=Condition_vs_Combined; metric=mae_delta; protocol=subject_holdout	external_paired_channel	65031268ca5c3031c7d98242d72a0151093f9921f9f91551c0051260ed8ca963	The paired MAE interval for condition prior minus combined prediction was [-0.0329, -0.0004].
C33	External labeled trial count	35504	35504.0	benchmark_scope	dataset_id=ds006866; scope_type=dataset	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The external dataset contributed 35,504 trials with complete valence and arousal ratings.
C34	Core dataset count	3	3.0	benchmark_scope	dataset_id=core; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The core benchmark contains three stimulus-elicitation datasets.
C35	Core participant count	131	131.0	benchmark_scope	dataset_id=core; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The core benchmark contains 131 dataset-qualified participants.
C36	Core trial count	4135	4135.0	benchmark_scope	dataset_id=core; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The core benchmark contains 4,135 reconstructed trials.
C37	Core stimulus count	369	369.0	benchmark_scope	dataset_id=core; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The core benchmark contains 369 dataset-qualified stimulus identities.
C38	Core labeled trial count	2865	2865.0	benchmark_scope	dataset_id=core; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The core benchmark contains 2,865 trials with harmonizable self-report targets.
C39	Full benchmark dataset count	4	4.0	benchmark_scope	dataset_id=all; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	OpenAffect-EEG evaluates four public datasets.
C40	Full benchmark participant count	279	279.0	benchmark_scope	dataset_id=all; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The four datasets contain 279 dataset-qualified participants in total.
C41	Full benchmark trial count	39642	39642.0	benchmark_scope	dataset_id=all; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The four datasets contain 39,642 reconstructed trials.
C42	Full benchmark labeled trial count	38369	38369.0	benchmark_scope	dataset_id=all; scope_type=group	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	Across all datasets, 38,369 trials have complete harmonizable affect targets.
C43	External participant count	148	148.0	benchmark_scope	dataset_id=ds006866; scope_type=dataset	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The external emotion-regulation validation contains 148 participants.
C44	External reconstructed trial count	35507	35507.0	benchmark_scope	dataset_id=ds006866; scope_type=dataset	benchmark_scope_summary	ee008885372f310a2c180f5d64b9edaf299855aa1628999485c2bd378f12447b	The external emotion-regulation validation contains 35,507 reconstructed image-presentation trials.
C45	Exact seed sign-flip p-value for the unseen-stimulus LaBraM gain	0.0625	0.0625	representation_comparisons	comparison=labram_pretrained_vs_labram_random; protocol=stimulus_holdout	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	With five seeds, the exact two-sided sign-flip p-value for this gain was 0.0625.
C46	Uniform chance level for the thirty-class LaBraM subject probe	0.0333333333333	0.0333	identity_probes	dataset_id=ds005540; probe=subject; representation=LaBraM pretrained	identity_labram_pretrained	1c5f10ad9cc92d2bc7c15cd6765a668c7f91c903c255c429a28e206cddc024a3	The corresponding thirty-class chance level was 0.0333.
C47	Fixed seed count used by the main representation audit	5	5.0	protocol_models	protocol=trial_random_holdout; representation=DE	representation_statistics_core	779f38c3f6a65f79b84abb0d4831ad56b37c7df756176da9ed1be0506bc5338d	All main representation audits use five fixed random seeds.
C48	Uniform chance level for the three-class DE dataset probe	0.333333333333	0.3333	identity_probes	dataset_id=all; probe=dataset; representation=DE	identity_de	21eb1efe40e7c01efa7da9faef4cec84b91c8745144ec2e52cb7e719244ae0f0	The corresponding three-class dataset-identity chance level was 0.3333.
C49	Uniform chance level for the forty-two-class LaBraM stimulus probe	0.0238095238095	0.0238	identity_probes	dataset_id=ds005540; probe=stimulus; representation=LaBraM pretrained	identity_labram_pretrained	1c5f10ad9cc92d2bc7c15cd6765a668c7f91c903c255c429a28e206cddc024a3	The corresponding forty-two-class stimulus-identity chance level was 0.0238.
C50	CCC gain from restoring identity overlap under matched test support and sample counts	0.211065344223	0.2111	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=disentangled_prior_plus_eeg_residual	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Restoring training-side identity overlap on identical test trials and matched train-validation counts increased macro CCC by 0.2111.
C51	Lower crossed-cluster bootstrap endpoint for the support-matched CCC gain	0.110092524039	0.1101	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=disentangled_prior_plus_eeg_residual	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The crossed subject-stimulus cluster bootstrap 95% interval for the matched-control CCC gain was [0.1101, 0.2706].
C52	Upper crossed-cluster bootstrap endpoint for the support-matched CCC gain	0.270574059486	0.2706	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=disentangled_prior_plus_eeg_residual	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The crossed subject-stimulus cluster bootstrap 95% interval for the matched-control CCC gain was [0.1101, 0.2706].
C53	MAE change from restoring identity overlap under matched test support and sample counts	-0.0264676259106	-0.0265	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=mae_delta; variant=disentangled_prior_plus_eeg_residual	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The support-matched identity-overlap control reduced macro MAE by 0.0265 relative to joint holdout.
C54	Subject identity accuracy after maximal identity-subspace removal	0.0341666666667	0.0342	reviewer_controls	analysis=subject_subspace; endpoint=max_removal; metric=subject_balanced_accuracy; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	Maximal training-estimated subject-subspace removal reduced subject balanced accuracy to 0.0342, near the thirty-class chance level.
C55	Affect CCC change after maximal identity-subspace removal	-0.0655757952398	-0.0656	reviewer_controls	analysis=subject_subspace; endpoint=max_minus_baseline; metric=ccc_delta; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	Maximal subject-subspace removal changed unseen-stimulus macro CCC by -0.0656 relative to the zero-removal control.
C56	Lower crossed-cluster bootstrap endpoint for the identity-subspace CCC change	-0.107025041388	-0.107	reviewer_controls	analysis=subject_subspace; endpoint=max_minus_baseline; metric=ccc_delta; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The crossed subject-stimulus cluster bootstrap 95% interval for the CCC change was [-0.1070, -0.0272].
C57	Upper crossed-cluster bootstrap endpoint for the identity-subspace CCC change	-0.0272000428007	-0.0272	reviewer_controls	analysis=subject_subspace; endpoint=max_minus_baseline; metric=ccc_delta; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The crossed subject-stimulus cluster bootstrap 95% interval for the CCC change was [-0.1070, -0.0272].
C58	Subject identity accuracy change after maximal identity-subspace removal	-0.93	-0.93	reviewer_controls	analysis=subject_subspace; endpoint=max_minus_baseline; metric=subject_balanced_accuracy_delta; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	Maximal subject-subspace removal reduced subject balanced accuracy by 0.9300 relative to the zero-removal control.
C59	Affect CCC after maximal identity-subspace removal	0.380824049342	0.3808	reviewer_controls	analysis=subject_subspace; endpoint=max_removal; metric=combined_ccc; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The prior-plus-residual model retained macro CCC 0.3808 after maximal subject-subspace removal.
C60	Within-seed association between residual subject identity and affect CCC along the intervention curve	0.840613106744	0.8406	reviewer_controls	analysis=subject_subspace; endpoint=full_curve; metric=within_seed_identity_ccc_correlation; variant=subject_centroid	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	Across intervention strengths, the within-seed correlation between subject identity accuracy and affect CCC was 0.8406; this post hoc descriptive association is not used as a headline inferential result.
C61	Direct-EEG CCC gain under the support-matched identity-overlap control	0.151072472692	0.1511	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=direct_eeg	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The direct-EEG branch gained 0.1511 CCC when training-side identity overlap was restored under matched support.
C62	Lower crossed-cluster interval endpoint for the direct-EEG support-matched gain	0.0348564504967	0.0349	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=direct_eeg	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The crossed subject-stimulus 95% interval for the direct-EEG gain was [0.0349, 0.2156].
C63	Upper crossed-cluster interval endpoint for the direct-EEG support-matched gain	0.215588811368	0.2156	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=direct_eeg	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The crossed subject-stimulus 95% interval for the direct-EEG gain was [0.0349, 0.2156].
C64	Semantic-prior CCC gain under the support-matched identity-overlap control	0.0826685798052	0.0827	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=semantic_stimulus_prior	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The semantic stimulus-prior branch gained 0.0827 CCC under the matched identity-overlap contrast.
C65	Hybrid-prior CCC gain under the support-matched identity-overlap control	0.0991363028561	0.0991	reviewer_controls	analysis=support_matched; endpoint=matched_minus_joint; metric=ccc_delta; variant=hybrid_stimulus_prior	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	The hybrid stimulus-prior branch gained 0.0991 CCC under the matched identity-overlap contrast.
C66	Identity-specific CCC endpoint effect relative to equal-rank PCA removal	-0.0364170701922	-0.0364	reviewer_controls	analysis=subject_subspace_specificity; endpoint=identity_minus_control_endpoint_effect; metric=ccc_difference_in_differences; variant=pca	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The CCC endpoint loss from subject-centroid removal exceeded that from equal-rank PCA removal by 0.0364.
C67	Lower crossed-cluster interval endpoint for identity versus PCA specificity	-0.0623999961565	-0.0624	reviewer_controls	analysis=subject_subspace_specificity; endpoint=identity_minus_control_endpoint_effect; metric=ccc_difference_in_differences; variant=pca	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The crossed subject-stimulus interval for the identity-minus-PCA CCC endpoint effect was [-0.0624, -0.0118].
C68	Upper crossed-cluster interval endpoint for identity versus PCA specificity	-0.0117547432835	-0.0118	reviewer_controls	analysis=subject_subspace_specificity; endpoint=identity_minus_control_endpoint_effect; metric=ccc_difference_in_differences; variant=pca	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The crossed subject-stimulus interval for the identity-minus-PCA CCC endpoint effect was [-0.0624, -0.0118].
C69	Identity-specific CCC endpoint effect relative to equal-rank random removal	-0.0631050018289	-0.0631	reviewer_controls	analysis=subject_subspace_specificity; endpoint=identity_minus_control_endpoint_effect; metric=ccc_difference_in_differences; variant=random	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The CCC endpoint loss from subject-centroid removal exceeded that from equal-rank random removal by 0.0631.
C70	Lower crossed-cluster interval endpoint for identity versus random specificity	-0.102774820938	-0.1028	reviewer_controls	analysis=subject_subspace_specificity; endpoint=identity_minus_control_endpoint_effect; metric=ccc_difference_in_differences; variant=random	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The crossed subject-stimulus interval for the identity-minus-random CCC endpoint effect was [-0.1028, -0.0263].
C71	Upper crossed-cluster interval endpoint for identity versus random specificity	-0.0262516966974	-0.0263	reviewer_controls	analysis=subject_subspace_specificity; endpoint=identity_minus_control_endpoint_effect; metric=ccc_difference_in_differences; variant=random	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	The crossed subject-stimulus interval for the identity-minus-random CCC endpoint effect was [-0.1028, -0.0263].
C72	CCC endpoint change after equal-rank PCA removal	-0.0291587250476	-0.0292	reviewer_controls	analysis=subject_subspace; endpoint=max_minus_baseline; metric=ccc_delta; variant=pca	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	Equal-rank PCA removal changed macro CCC by -0.0292.
C73	CCC endpoint change after equal-rank random removal	-0.00247079341097	-0.0025	reviewer_controls	analysis=subject_subspace; endpoint=max_minus_baseline; metric=ccc_delta; variant=random	subject_subspace_statistics	11d25b98fa6494de8ecdc4fc1c2ba2950a6a74452a7db71542075ff96117fbd8	Equal-rank random removal changed macro CCC by -0.0025.
C74	DENS complete-case feature missing fraction	0.556164383562	0.5562	data_quality	dataset_id=ds003751; metric=missing_fraction	dens_feature_missingness	121c1d52978b8490f9d6702c3d30512341acbd0add6c0ae0edd0fa5dacf73377	The transparent DENS feature pipeline was missing 55.62% of otherwise label-eligible trials.
C75	DENS available feature trial count	162	162.0	data_quality	dataset_id=ds003751; metric=feature_available_count	dens_feature_missingness	121c1d52978b8490f9d6702c3d30512341acbd0add6c0ae0edd0fa5dacf73377	DENS complete-case analyses used 162 feature-available trials.
C76	DENS eligible labeled trial count before feature availability filtering	365	365.0	data_quality	dataset_id=ds003751; metric=eligible_trial_count	dens_feature_missingness	121c1d52978b8490f9d6702c3d30512341acbd0add6c0ae0edd0fa5dacf73377	DENS contained 365 label-eligible trials before feature availability filtering.
C77	DENS valence standardized mean difference by feature availability	0.189463234736	0.1895	data_quality	dataset_id=ds003751; metric=valence_standardized_mean_difference	dens_feature_missingness	121c1d52978b8490f9d6702c3d30512341acbd0add6c0ae0edd0fa5dacf73377	Available versus missing DENS trials differed in valence by standardized mean difference 0.1895.
C78	DENS subjects with all eligible trials missing features	7	7.0	data_quality	dataset_id=ds003751; metric=subjects_all_missing_count	dens_feature_missingness	121c1d52978b8490f9d6702c3d30512341acbd0add6c0ae0edd0fa5dacf73377	Seven DENS participants had no feature-available eligible trials in the transparent pipeline.
C79	Minimum support-matched test trials across seeds	32	32.0	reviewer_controls	analysis=support_matched_support; endpoint=across_seed_range; metric=test_rows_min; variant=test	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Support-matched test sets contained 32 to 56 trials per seed.
C80	Maximum support-matched test trials across seeds	56	56.0	reviewer_controls	analysis=support_matched_support; endpoint=across_seed_range; metric=test_rows_max; variant=test	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Support-matched test sets contained 32 to 56 trials per seed.
C81	Minimum support-matched test participants across seeds	4	4.0	reviewer_controls	analysis=support_matched_support; endpoint=across_seed_range; metric=subject_clusters_min; variant=test	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Support-matched test sets contained four to seven participants per seed.
C82	Maximum support-matched test participants across seeds	7	7.0	reviewer_controls	analysis=support_matched_support; endpoint=across_seed_range; metric=subject_clusters_max; variant=test	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Support-matched test sets contained four to seven participants per seed.
C83	Minimum support-matched test stimuli across seeds	8	8.0	reviewer_controls	analysis=support_matched_support; endpoint=across_seed_range; metric=stimulus_clusters_min; variant=test	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Every support-matched test set contained eight held-out stimuli.
C84	Maximum support-matched test stimuli across seeds	8	8.0	reviewer_controls	analysis=support_matched_support; endpoint=across_seed_range; metric=stimulus_clusters_max; variant=test	support_matched_statistics	0a686de58cece35a3b681274290b889bff9f947b2a85e3263201b32307104cd0	Every support-matched test set contained eight held-out stimuli.
